技能id;技能名称;描述;稀有度;等级效果
51201;江晖剑;昏旦变气候，江水含清晖。;橙
;技能效果;20级: 气血为盾1级：角色在行动回合内对自身造成伤害时，获得伤害值20%的护盾。
;;30级: 本武学无视真气护盾，直接攻击生命

12301;毒蒺藜;像蒺藜般带刺暗器，自身连击率较高，同时可以增加对《追魂夺命帖》的次数上限，后期可作为其辅助武学;白
;技能效果;
12302;潜藏要术;降低受到内功武学的伤害，是保命的基础武学;绿
;技能效果;20级: 受到所有内功武学基础伤害-5%

12303;毒性锻体;利用特制的毒来锻炼体质，拥有"锥心透骨"条目可加成所有暗器武学;紫
;技能效果;15级: 锥心透骨1级：暗器武学暴击时，20%几率追加一次穿心透骨（每回合最多追加1次）（可叠加至5级）
;;20级: 自身中毒时，受到所有基础伤害-10%

12304;无忧邪经;加成唐门顶级武学，同时拥有"强化中毒"和"毒海无涯"两个条目，对毒系玩法的效果较好;橙
;技能效果;10级: 毒海无涯：开场对所有敌方施放攻击（攻击与武学等级越高，伤害越高），附加中毒+10
;;15级: 使每层中毒的效果提升至减少敌人血量60点血量，减少真气20点（敌方受到中毒效果取我方等级最高的效果，可叠加至5级）

12305;天府操傀诀;对召唤的傀儡具有大量加成，是辅助傀儡的绝佳武学;暗金
;技能效果;5级: 锥心透骨1级：暗器武学暴击时，20%几率追加一次穿心透骨（每回合最多追加1次）（可叠加至5级）
;;10级: 呼唤傀儡合击时恢复傀儡3000+3%点生命值
;;20级: 呼唤傀儡合击时，可对敌方目标附加中毒+15

12306;银针飞花;如同带根的莲花，能加成唐门高级暗器武学;蓝
;技能效果;15级: 魂飞魄散1级：使用暗器武学时，如果首个目标有中毒>99"状态，30%几率发动一次《追魂夺命帖》（每回合只触发一次）（可叠加至3级）"

12307;五彩神砂;与《银针飞花》配合共同加成《追魂夺命帖》的次数上限，拥有锥心透骨条目，不错的暗器辅助类武学;橙
;技能效果;10级: 随机攻击敌人3次，造成[DamageValue]伤害
;;15级: 锥心透骨1级：暗器武学暴击时，20%几率追加一次穿心透骨（每回合最多追加1次）（可叠加至5级）

12308;乾坤百切斩;多次攻击刀法，唐门机关刀法的再进一步，对中毒的敌人施展尤其有效;橙
;技能效果;10级: 随机攻击敌人[DamageCount]次，造成[DamageValue]伤害，目标中毒层数大于等于50层，减少目标50层中毒，增加30%绝招伤害

12309;袖中藏刀;袖中机关弹出的连环刀，具有多段伤害;白
;技能效果;15级: 嗜血追击1级：当敌人生命值低于50%时，我方最终基础伤害+5%，且敌人剩余生命值百分比每比50%低5%时，我方额外增加1%最终伤害（可叠加至3级）

12310;机关片斩刀;唐门特有的机关和刀法结合。刀法精通越高，攻击次数越高;蓝
;技能效果;10级: 无招胜有招1级：所有随机多次武学可攻击单体目标，后续伤害为上一次伤害的60%（初始值为50%，最高提升至5级）
;;20级: 嗜血追击1级：当敌人生命值低于50%时，我方最终基础伤害+5%，且敌人剩余生命值百分比每比50%低5%时，我方额外增加1%最终伤害（可叠加至3级）

12311;傀儡始解;唐门傀儡操作基础讲解，对刀法有加成，也能附加毒伤;绿
;技能效果;1级: 登场召唤一个地支傀儡
;;10级: 增加本武学召唤出来的弟子的生命
;;15级: 魂飞魄散1级：使用暗器武学时，如果首个目标有中毒>99"状态，30%几率发动一次《追魂夺命帖》（每回合只触发一次）（可叠加至3级）"
;;20级: 召唤的地支傀儡所有攻击额外附加中毒+5

12312;神机傀道;唐门对傀儡之道的终极理解，不仅对暗器有加成，也能够制造大量伤害;暗金
;技能效果;1级: 登场召唤一个天干傀儡
;;10级: 增加本武学召唤出来的弟子的生命
;;20级: 召唤的天干傀儡攻击时额外消耗当前生命值20%，对首个目标造成等额伤害
;;30级: 所有阵法召唤的角色，生命值+5%

12313;追魂夺命帖;阎王送去的请帖。唐门顶级暗器武学，能够提供大范围中毒状态;暗金
;技能效果;10级: 魂飞魄散1级：使用暗器武学时，如果首个目标有中毒>99"状态，30%几率发动一次《追魂夺命帖》（每回合只触发一次）（可叠加至3级）"
;;25级: 无招胜有招1级：所有随机多次武学可攻击单体目标，后续伤害为上一次伤害的60%（初始值为50%，最高提升至5级）

12314;千叶机变刀;唐门多次攻击刀法，拥有"嗜血追击"条目，敌人生命愈低我方输出愈高;暗金
;技能效果;10级: 随机攻击敌人[DamageCount]次，造成[DamageValue]伤害，附加刀法精通*5点伤害。如果目标中毒层数大于等于80，则额外附加刀法精通*5点伤害
;;15级: 自身中毒时，所有武学造成基础伤害+20%，附加中毒+10
;;30级: 嗜血追击1级：当敌人生命值低于50%时，我方最终基础伤害+5%，且敌人剩余生命值百分比每比50%低5%时，我方额外增加1%最终伤害（可叠加至3级）

12315;秘奥义·巴山夜雨;唐门中阶刀法，随机攻击敌人，并在造成伤害后为敌人附加中毒效果;紫
;技能效果;
12316;秘奥义·断肠消魂针;唐门中阶暗器奥义，命中后可弹射并为敌人附加中毒效果;紫
;技能效果;
12317;秘奥义·暴雨梨花针;唐门暗器，暗器精通越高发射次数越多，同时对暗器和内功武学尤为克制;暗金
;技能效果;
50206;厚黑学;厚而无形，黑而无色;橙
;技能效果;10级: 战斗开始时，自动获得寒冰真气几率+10%
;;20级: 识破罩门1级：攻击暴击时，有20%几率敌人无法进行反弹、反击、识破（可叠加至5级）
;;30级: 战斗开始时，自动获得寒冰真气几率+10%

50207;绝绝刀;刑不醉通过平日与海盗战斗时的经验自创的刀法，被砍的海盗都高呼“绝、绝刀！”，由此得名;橙
